ModuleName,Layer,DomainGuess,RelativeBuildCsPath,TriggerKeywords
AITestSuite,Developer,UI,Developer\AITestSuite\AITestSuite.Build.cs,aitestsuite|slate|umg|widget
AndroidDeviceDetection,Developer,UI,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs,androiddevicedetection|android|slate|umg|widget
AndroidPlatformEditor,Developer,UI,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs,androidplatformeditor|android|slate|umg|widget
AndroidTargetPlatform,Developer,UI,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs,androidtargetplatform|android|slate|umg|widget
AndroidTargetPlatformControls,Developer,UI,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs,androidtargetplatformcontrols|android|slate|umg|widget
AndroidTargetPlatformSettings,Developer,UI,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs,androidtargetplatformsettings|android|slate|umg|widget
AnimationDataController,Developer,Animation,Developer\AnimationDataController\AnimationDataController.build.cs,animationdatacontroller|animation|rig|skeletal
AnimationWidgets,Developer,Animation,Developer\AnimationWidgets\AnimationWidgets.Build.cs,animationwidgets|animation|rig|skeletal
AssetTools,Developer,UI,Developer\AssetTools\AssetTools.Build.cs,assettools|slate|umg|widget
AudioFormatADPCM,Developer,Audio,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs,audioformatadpcm|audio|metasound|sound
AudioFormatBink,Developer,Audio,Developer\AudioFormatBink\AudioFormatBink.Build.cs,audioformatbink|audio|metasound|sound
AudioFormatOgg,Developer,Audio,Developer\AudioFormatOgg\AudioFormatOgg.Build.cs,audioformatogg|audio|metasound|sound
AudioFormatOpus,Developer,Audio,Developer\AudioFormatOpus\AudioFormatOpus.Build.cs,audioformatopus|audio|metasound|sound
AudioFormatRad,Developer,Audio,Developer\AudioFormatRad\AudioFormatRad.Build.cs,audioformatrad|audio|metasound|sound
AudioSettingsEditor,Developer,Audio,Developer\AudioSettingsEditor\AudioSettingsEditor.Build.cs,audiosettingseditor|audio|metasound|sound
AutomationController,Developer,UI,Developer\AutomationController\AutomationController.Build.cs,automationcontroller|slate|umg|widget
AutomationDriver,Developer,UI,Developer\AutomationDriver\AutomationDriver.Build.cs,automationdriver|slate|umg|widget
AutomationWindow,Developer,UI,Developer\AutomationWindow\AutomationWindow.Build.cs,automationwindow|slate|umg|widget
BlankModule,Developer,UI,Developer\BlankModule\BlankModule.Build.cs,blankmodule|slate|umg|widget
BSPUtils,Developer,UI,Developer\BSPUtils\BSPUtils.Build.cs,bsputils|slate|umg|widget
CollectionManager,Developer,UI,Developer\CollectionManager\CollectionManager.Build.cs,collectionmanager|slate|umg|widget
CollisionAnalyzer,Developer,Physics,Developer\CollisionAnalyzer\CollisionAnalyzer.Build.cs,collisionanalyzer|chaos|collision|physics
CookedEditor,Developer,UI,Developer\CookedEditor\CookedEditor.Build.cs,cookededitor|slate|umg|widget
CookMetadata,Developer,UI,Developer\CookMetadata\CookMetadata.Build.cs,cookmetadata|slate|umg|widget
CookOnTheFlyNetServer,Developer,NetworkingOnline,Developer\CookOnTheFlyNetServer\CookOnTheFlyNetServer.Build.cs,cookontheflynetserver|network|online|replication
CQTest,Developer,UI,Developer\CQTest\CQTest.Build.cs,cqtest|slate|umg|widget
CrashDebugHelper,Developer,UI,Developer\CrashDebugHelper\CrashDebugHelper.Build.cs,crashdebughelper|slate|umg|widget
CSVUtils,Developer,UI,Developer\CSVUtils\CSVUtils.build.cs,csvutils|slate|umg|widget
DatasmithExporter,Developer,UI,Developer\Datasmith\DatasmithExporter\DatasmithExporter.Build.cs,datasmithexporter|datasmith|slate|umg|widget
DatasmithExporterUI,Developer,UI,Developer\Datasmith\DatasmithExporterUI\DatasmithExporterUI.Build.cs,datasmithexporterui|datasmith|slate|umg|widget
DatasmithFacade,Developer,UI,Developer\Datasmith\DatasmithFacade\DatasmithFacade.Build.cs,datasmithfacade|datasmith|slate|umg|widget
DerivedDataCache,Developer,UI,Developer\DerivedDataCache\DerivedDataCache.Build.cs,deriveddatacache|slate|umg|widget
DesktopPlatform,Developer,UI,Developer\DesktopPlatform\DesktopPlatform.Build.cs,desktopplatform|slate|umg|widget
DesktopWidgets,Developer,UI,Developer\DesktopWidgets\DesktopWidgets.Build.cs,desktopwidgets|slate|umg|widget
DeveloperToolSettings,Developer,UI,Developer\DeveloperToolSettings\DeveloperToolSettings.Build.cs,developertoolsettings|slate|umg|widget
DevHttp,Developer,NetworkingOnline,Developer\DevHttp\DevHttp.Build.cs,devhttp|network|online|replication
DeviceManager,Developer,UI,Developer\DeviceManager\DeviceManager.Build.cs,devicemanager|slate|umg|widget
DirectoryWatcher,Developer,UI,Developer\DirectoryWatcher\DirectoryWatcher.Build.cs,directorywatcher|slate|umg|widget
DistributedBuildInterface,Developer,UI,Developer\DistributedBuildInterface\DistributedBuildInterface.build.cs,distributedbuildinterface|slate|umg|widget
DrawPrimitiveDebugger,Developer,UI,Developer\DrawPrimitiveDebugger\DrawPrimitiveDebugger.Build.cs,drawprimitivedebugger|slate|umg|widget
EditorAnalyticsSession,Developer,UI,Developer\EditorAnalyticsSession\EditorAnalyticsSession.Build.cs,editoranalyticssession|slate|umg|widget
ExternalImagePicker,Developer,UI,Developer\ExternalImagePicker\ExternalImagePicker.Build.cs,externalimagepicker|slate|umg|widget
FileUtilities,Developer,UI,Developer\FileUtilities\FileUtilities.Build.cs,fileutilities|slate|umg|widget
FunctionalTesting,Developer,UI,Developer\FunctionalTesting\FunctionalTesting.Build.cs,functionaltesting|slate|umg|widget
GeometryProcessingInterfaces,Developer,UI,Developer\GeometryProcessingInterfaces\GeometryProcessingInterfaces.Build.cs,geometryprocessinginterfaces|slate|umg|widget
GraphColor,Developer,UI,Developer\GraphColor\GraphColor.Build.cs,graphcolor|slate|umg|widget
HierarchicalLODUtilities,Developer,UI,Developer\HierarchicalLODUtilities\HierarchicalLODUtilities.Build.cs,hierarchicallodutilities|slate|umg|widget
Horde,Developer,UI,Developer\Horde\Horde.Build.cs,horde|slate|umg|widget
HotReload,Developer,UI,Developer\HotReload\HotReload.Build.cs,hotreload|slate|umg|widget
IOSPlatformEditor,Developer,UI,Developer\IOS\IOSPlatformEditor\IOSPlatformEditor.Build.cs,iosplatformeditor|ios|slate|umg|widget
IOSTargetPlatform,Developer,UI,Developer\IOS\IOSTargetPlatform\IOSTargetPlatform.Build.cs,iostargetplatform|ios|slate|umg|widget
IOSTargetPlatformControls,Developer,UI,Developer\IOS\IOSTargetPlatformControls\IOSTargetPlatformControls.Build.cs,iostargetplatformcontrols|ios|slate|umg|widget
IOSTargetPlatformSettings,Developer,UI,Developer\IOS\IOSTargetPlatformSettings\IOSTargetPlatformSettings.Build.cs,iostargetplatformsettings|ios|slate|umg|widget
IoStoreUtilities,Developer,UI,Developer\IoStoreUtilities\IoStoreUtilities.Build.cs,iostoreutilities|slate|umg|widget
LauncherServices,Developer,UI,Developer\LauncherServices\LauncherServices.Build.cs,launcherservices|slate|umg|widget
LegacyProjectLauncher,Developer,UI,Developer\LegacyProjectLauncher\LegacyProjectLauncher.Build.cs,legacyprojectlauncher|slate|umg|widget
LinuxArm64TargetPlatform,Developer,UI,Developer\Linux\LinuxArm64TargetPlatform\LinuxArm64TargetPlatform.Build.cs,linuxarm64targetplatform|linux|slate|umg|widget
LinuxArm64TargetPlatformControls,Developer,UI,Developer\Linux\LinuxArm64TargetPlatformControls\LinuxArm64TargetPlatformControls.Build.cs,linuxarm64targetplatformcontrols|linux|slate|umg|widget
LinuxArm64TargetPlatformSettings,Developer,UI,Developer\Linux\LinuxArm64TargetPlatformSettings\LinuxArm64TargetPlatformSettings.Build.cs,linuxarm64targetplatformsettings|linux|slate|umg|widget
LinuxPlatformEditor,Developer,UI,Developer\Linux\LinuxPlatformEditor\LinuxPlatformEditor.Build.cs,linuxplatformeditor|linux|slate|umg|widget
LinuxTargetPlatform,Developer,UI,Developer\Linux\LinuxTargetPlatform\LinuxTargetPlatform.Build.cs,linuxtargetplatform|linux|slate|umg|widget
LinuxTargetPlatformControls,Developer,UI,Developer\Linux\LinuxTargetPlatformControls\LinuxTargetPlatformControls.Build.cs,linuxtargetplatformcontrols|linux|slate|umg|widget
LinuxTargetPlatformSettings,Developer,UI,Developer\Linux\LinuxTargetPlatformSettings\LinuxTargetPlatformSettings.Build.cs,linuxtargetplatformsettings|linux|slate|umg|widget
LiveCoding,Developer,UI,Developer\Windows\LiveCoding\LiveCoding.Build.cs,livecoding|slate|umg|widget|windows
LiveCodingServer,Developer,UI,Developer\Windows\LiveCodingServer\LiveCodingServer.Build.cs,livecodingserver|slate|umg|widget|windows
Localization,Developer,UI,Developer\Localization\Localization.Build.cs,localization|slate|umg|widget
LocalizationService,Developer,UI,Developer\LocalizationService\LocalizationService.Build.cs,localizationservice|slate|umg|widget
LogVisualizer,Developer,UI,Developer\LogVisualizer\LogVisualizer.Build.cs,logvisualizer|slate|umg|widget
LowLevelTestsRunner,Developer,UI,Developer\LowLevelTestsRunner\LowLevelTestsRunner.Build.cs,lowleveltestsrunner|slate|umg|widget
MacPlatformEditor,Developer,UI,Developer\Mac\MacPlatformEditor\MacPlatformEditor.Build.cs,macplatformeditor|mac|slate|umg|widget
MacTargetPlatform,Developer,UI,Developer\Mac\MacTargetPlatform\MacTargetPlatform.Build.cs,mactargetplatform|mac|slate|umg|widget
MacTargetPlatformControls,Developer,UI,Developer\Mac\MacTargetPlatformControls\MacTargetPlatformControls.Build.cs,mactargetplatformcontrols|mac|slate|umg|widget
MacTargetPlatformSettings,Developer,UI,Developer\Mac\MacTargetPlatformSettings\MacTargetPlatformSettings.Build.cs,mactargetplatformsettings|mac|slate|umg|widget
MassEntityTestSuite,Developer,AI_Mass,Developer\MassEntityTestSuite\MassEntityTestSuite.Build.cs,massentitytestsuite|mass|nav
MaterialBaking,Developer,Rendering,Developer\MaterialBaking\MaterialBaking.Build.cs,materialbaking|render|rhi|shader
MaterialUtilities,Developer,Rendering,Developer\MaterialUtilities\MaterialUtilities.Build.cs,materialutilities|render|rhi|shader
Merge,Developer,UI,Developer\Merge\Merge.Build.cs,merge|slate|umg|widget
MeshBoneReduction,Developer,UI,Developer\MeshBoneReduction\MeshBoneReduction.Build.cs,meshbonereduction|slate|umg|widget
MeshBuilder,Developer,UI,Developer\MeshBuilder\MeshBuilder.Build.cs,meshbuilder|slate|umg|widget
MeshBuilderCommon,Developer,UI,Developer\MeshBuilderCommon\MeshBuilderCommon.Build.cs,meshbuildercommon|slate|umg|widget
MeshDescriptionOperations,Developer,UI,Developer\MeshDescriptionOperations\MeshDescriptionOperations.Build.cs,meshdescriptionoperations|slate|umg|widget
MeshMergeUtilities,Developer,UI,Developer\MeshMergeUtilities\MeshMergeUtilities.Build.cs,meshmergeutilities|slate|umg|widget
MeshReductionInterface,Developer,UI,Developer\MeshReductionInterface\MeshReductionInterface.Build.cs,meshreductioninterface|slate|umg|widget
MeshUtilities,Developer,UI,Developer\MeshUtilities\MeshUtilities.Build.cs,meshutilities|slate|umg|widget
MeshUtilitiesEngine,Developer,UI,Developer\MeshUtilitiesEngine\MeshUtilitiesEngine.Build.cs,meshutilitiesengine|slate|umg|widget
MessageLog,Developer,UI,Developer\MessageLog\MessageLog.Build.cs,messagelog|slate|umg|widget
MetalShaderFormat,Developer,Rendering,Developer\Apple\MetalShaderFormat\MetalShaderFormat.Build.cs,metalshaderformat|apple|render|rhi|shader
NaniteBuilder,Developer,Rendering,Developer\NaniteBuilder\NaniteBuilder.Build.cs,nanitebuilder|render|rhi|shader
NaniteUtilities,Developer,Rendering,Developer\NaniteUtilities\NaniteUtilities.Build.cs,naniteutilities|render|rhi|shader
OutputLog,Developer,UI,Developer\OutputLog\OutputLog.Build.cs,outputlog|slate|umg|widget
PakFileUtilities,Developer,UI,Developer\PakFileUtilities\PakFileUtilities.Build.cs,pakfileutilities|slate|umg|widget
PhysicsUtilities,Developer,Physics,Developer\PhysicsUtilities\PhysicsUtilities.Build.cs,physicsutilities|chaos|collision|physics
Profiler,Developer,UI,Developer\Profiler\Profiler.Build.cs,profiler|slate|umg|widget
ProfilerClient,Developer,UI,Developer\ProfilerClient\ProfilerClient.Build.cs,profilerclient|slate|umg|widget
ProfilerMessages,Developer,UI,Developer\ProfilerMessages\ProfilerMessages.Build.cs,profilermessages|slate|umg|widget
ProfilerService,Developer,UI,Developer\ProfilerService\ProfilerService.Build.cs,profilerservice|slate|umg|widget
ProfileVisualizer,Developer,UI,Developer\ProfileVisualizer\ProfileVisualizer.Build.cs,profilevisualizer|slate|umg|widget
QuadricMeshReduction,Developer,UI,Developer\MeshSimplifier\QuadricMeshReduction.Build.cs,quadricmeshreduction|meshsimplifier|slate|umg|widget
S3Client,Developer,UI,Developer\S3Client\S3Client.Build.cs,s3client|slate|umg|widget
ScreenShotComparison,Developer,UI,Developer\ScreenShotComparison\ScreenShotComparison.Build.cs,screenshotcomparison|slate|umg|widget
ScreenShotComparisonTools,Developer,UI,Developer\ScreenShotComparisonTools\ScreenShotComparisonTools.Build.cs,screenshotcomparisontools|slate|umg|widget
ScriptDisassembler,Developer,UI,Developer\ScriptDisassembler\ScriptDisassembler.Build.cs,scriptdisassembler|slate|umg|widget
SessionFrontend,Developer,UI,Developer\SessionFrontend\SessionFrontend.Build.cs,sessionfrontend|slate|umg|widget
Settings,Developer,UI,Developer\Settings\Settings.Build.cs,settings|slate|umg|widget
SettingsEditor,Developer,UI,Developer\SettingsEditor\SettingsEditor.Build.cs,settingseditor|slate|umg|widget
ShaderCompilerCommon,Developer,Rendering,Developer\ShaderCompilerCommon\ShaderCompilerCommon.Build.cs,shadercompilercommon|render|rhi|shader
ShaderFormatD3D,Developer,Rendering,Developer\Windows\ShaderFormatD3D\ShaderFormatD3D.Build.cs,shaderformatd3d|render|rhi|shader|windows
ShaderFormatOpenGL,Developer,Rendering,Developer\ShaderFormatOpenGL\ShaderFormatOpenGL.Build.cs,shaderformatopengl|render|rhi|shader
ShaderFormatVectorVM,Developer,Rendering,Developer\ShaderFormatVectorVM\ShaderFormatVectorVM.Build.cs,shaderformatvectorvm|render|rhi|shader
ShaderPreprocessor,Developer,Rendering,Developer\ShaderPreprocessor\ShaderPreprocessor.Build.cs,shaderpreprocessor|render|rhi|shader
SharedSettingsWidgets,Developer,UI,Developer\SharedSettingsWidgets\SharedSettingsWidgets.Build.cs,sharedsettingswidgets|slate|umg|widget
SkeletalMeshUtilitiesCommon,Developer,Animation,Developer\SkeletalMeshUtilitiesCommon\SkeletalMeshUtilitiesCommon.Build.cs,skeletalmeshutilitiescommon|animation|rig|skeletal
SlackIntegrations,Developer,UI,Developer\SlackIntegrations\SlackIntegrations.Build.cs,slackintegrations|slate|umg|widget
SlateFileDialogs,Developer,UI,Developer\SlateFileDialogs\SlateFileDialogs.Build.cs,slatefiledialogs|slate|umg|widget
SlateFontDialog,Developer,UI,Developer\SlateFontDialog\SlateFontDialog.Build.cs,slatefontdialog|slate|umg|widget
SlateReflector,Developer,UI,Developer\SlateReflector\SlateReflector.Build.cs,slatereflector|slate|umg|widget
SourceCodeAccess,Developer,UI,Developer\SourceCodeAccess\SourceCodeAccess.Build.cs,sourcecodeaccess|slate|umg|widget
SourceControl,Developer,UI,Developer\SourceControl\SourceControl.Build.cs,sourcecontrol|slate|umg|widget
SourceControlCheckInPrompt,Developer,UI,Developer\SourceControlCheckInPrompt\SourceControlCheckInPrompt.Build.cs,sourcecontrolcheckinprompt|slate|umg|widget
SourceControlViewport,Developer,UI,Developer\SourceControlViewport\SourceControlViewport.Build.cs,sourcecontrolviewport|slate|umg|widget
StandaloneRenderer,Developer,Rendering,Developer\StandaloneRenderer\StandaloneRenderer.Build.cs,standalonerenderer|render|rhi|shader
StructUtilsTestSuite,Developer,UI,Developer\StructUtilsTestSuite\StructUtilsTestSuite.Build.cs,structutilstestsuite|slate|umg|widget
TargetDeviceServices,Developer,UI,Developer\TargetDeviceServices\TargetDeviceServices.Build.cs,targetdeviceservices|slate|umg|widget
TargetPlatform,Developer,UI,Developer\TargetPlatform\TargetPlatform.Build.cs,targetplatform|slate|umg|widget
TextureBuild,Developer,UI,Developer\TextureBuild\TextureBuild.Build.cs,texturebuild|slate|umg|widget
TextureBuildUtilities,Developer,UI,Developer\TextureBuildUtilities\TextureBuildUtilities.Build.cs,texturebuildutilities|slate|umg|widget
TextureCompressor,Developer,UI,Developer\TextureCompressor\TextureCompressor.Build.cs,texturecompressor|slate|umg|widget
TextureFormat,Developer,UI,Developer\TextureFormat\TextureFormat.Build.cs,textureformat|slate|umg|widget
TextureFormatASTC,Developer,UI,Developer\TextureFormatASTC\TextureFormatASTC.Build.cs,textureformatastc|slate|umg|widget
TextureFormatDXT,Developer,UI,Developer\TextureFormatDXT\TextureFormatDXT.Build.cs,textureformatdxt|slate|umg|widget
TextureFormatETC2,Developer,UI,Developer\TextureFormatETC2\TextureFormatETC2.Build.cs,textureformatetc2|slate|umg|widget
TextureFormatIntelISPCTexComp,Developer,UI,Developer\TextureFormatIntelISPCTexComp\TextureFormatIntelISPCTexComp.Build.cs,textureformatintelispctexcomp|slate|umg|widget
TextureFormatUncompressed,Developer,UI,Developer\TextureFormatUncompressed\TextureFormatUncompressed.Build.cs,textureformatuncompressed|slate|umg|widget
ToolMenus,Developer,UI,Developer\ToolMenus\ToolMenus.Build.cs,toolmenus|slate|umg|widget
ToolWidgets,Developer,UI,Developer\ToolWidgets\ToolWidgets.Build.cs,toolwidgets|slate|umg|widget
TraceAnalysis,Developer,UI,Developer\TraceAnalysis\TraceAnalysis.Build.cs,traceanalysis|slate|umg|widget
TraceInsights,Developer,UI,Developer\TraceInsights\TraceInsights.Build.cs,traceinsights|slate|umg|widget
TraceInsightsCore,Developer,UI,Developer\TraceInsightsCore\TraceInsightsCore.Build.cs,traceinsightscore|slate|umg|widget
TraceInsightsFrontend,Developer,UI,Developer\TraceInsightsFrontend\TraceInsightsFrontend.Build.cs,traceinsightsfrontend|slate|umg|widget
TraceServices,Developer,UI,Developer\TraceServices\TraceServices.Build.cs,traceservices|slate|umg|widget
TraceTools,Developer,UI,Developer\TraceTools\TraceTools.build.cs,tracetools|slate|umg|widget
TranslationEditor,Developer,UI,Developer\TranslationEditor\TranslationEditor.Build.cs,translationeditor|slate|umg|widget
TreeMap,Developer,UI,Developer\TreeMap\TreeMap.Build.cs,treemap|slate|umg|widget
TurnkeyIO,Developer,UI,Developer\TurnkeyIO\TurnkeyIO.Build.cs,turnkeyio|slate|umg|widget
TVOSTargetPlatform,Developer,UI,Developer\IOS\TVOSTargetPlatform\TVOSTargetPlatform.Build.cs,tvostargetplatform|ios|slate|umg|widget
TVOSTargetPlatformControls,Developer,UI,Developer\IOS\TVOSTargetPlatformControls\TVOSTargetPlatformControls.Build.cs,tvostargetplatformcontrols|ios|slate|umg|widget
TVOSTargetPlatformSettings,Developer,UI,Developer\IOS\TVOSTargetPlatformSettings\TVOSTargetPlatformSettings.Build.cs,tvostargetplatformsettings|ios|slate|umg|widget
UbaCoordinatorHorde,Developer,UI,Developer\UbaCoordinatorHorde\UbaCoordinatorHorde.Build.cs,ubacoordinatorhorde|slate|umg|widget
UncontrolledChangelists,Developer,UI,Developer\UncontrolledChangelists\UncontrolledChangelists.Build.cs,uncontrolledchangelists|slate|umg|widget
UndoHistory,Developer,UI,Developer\UndoHistory\UndoHistory.Build.cs,undohistory|slate|umg|widget
UnsavedAssetsTracker,Developer,UI,Developer\UnsavedAssetsTracker\Source\UnsavedAssetsTracker.Build.cs,unsavedassetstracker|slate|umg|widget
Virtualization,Developer,UI,Developer\Virtualization\Virtualization.Build.cs,virtualization|slate|umg|widget
VisualGraphUtils,Developer,UI,Developer\VisualGraphUtils\VisualGraphUtils.Build.cs,visualgraphutils|slate|umg|widget
VulkanShaderFormat,Developer,Rendering,Developer\VulkanShaderFormat\VulkanShaderFormat.Build.cs,vulkanshaderformat|render|rhi|shader
WidgetRegistration,Developer,UI,Developer\WidgetRegistration\WidgetRegistration.Build.cs,widgetregistration|slate|umg|widget
WindowsPlatformEditor,Developer,UI,Developer\Windows\WindowsPlatformEditor\WindowsPlatformEditor.Build.cs,windowsplatformeditor|slate|umg|widget|windows
WindowsTargetPlatform,Developer,UI,Developer\Windows\WindowsTargetPlatform\WindowsTargetPlatform.Build.cs,windowstargetplatform|slate|umg|widget|windows
WindowsTargetPlatformControls,Developer,UI,Developer\Windows\WindowsTargetPlatfomControls\WindowsTargetPlatformControls.Build.cs,windowstargetplatformcontrols|slate|umg|widget|windows|windowstargetplatfomcontrols
WindowsTargetPlatformSettings,Developer,UI,Developer\Windows\WindowsTargetPlatformSettings\WindowsTargetPlatformSettings.Build.cs,windowstargetplatformsettings|slate|umg|widget|windows
Zen,Developer,UI,Developer\Zen\Zen.Build.cs,zen|slate|umg|widget
ActionableMessage,Editor,UI,Editor\ActionableMessage\ActionableMessage.build.cs,actionablemessage|slate|umg|widget
